City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
327,baykal'sk,51.5058,104.1469,-7.78,66,7,1.66,RU,2025-01-08
328,thinadhoo,0.5333,72.9333,28.06,74,87,2.62,MV,2025-01-08
329,kanniyakumari,8.0833,77.5667,25.81,80,5,8.47,IN,2025-01-08
330,port lincoln,-34.7333,135.8667,19.47,76,100,3.55,AU,2025-01-08
331,banda aceh,5.5577,95.3222,26.62,78,100,0.42,ID,2025-01-08
332,sao felix do xingu,-6.6447,-51.995,31.17,55,78,1.33,BR,2025-01-08
333,mont-dore,-22.2833,166.5833,22.97,81,36,2.35,NC,2025-01-08
334,port elizabeth,-33.918,25.5701,24.16,69,20,8.75,ZA,2025-01-08
335,tadine,-21.55,167.8833,21.49,77,0,3.54,NC,2025-01-08
336,kununurra,-15.7667,128.7333,27.99,83,7,1.54,AU,2025-01-08
337,esmeraldas,-19.7625,-44.3139,24.65,78,60,2.59,BR,2025-01-08
338,inari,68.906,27.0288,-21.33,100,100,1.46,FI,2025-01-08
339,palikir - national government center,6.9248,158.1611,27.29,79,76,8.34,FM,2025-01-08
